id,date,time,kind,slot,type,sourceFile,titleOrHook,status
2026-04-29-post-01,2026-04-29,05:13,post,1,STAT_BOMB,linkedin-output/2026-04-29/posts.md,"Audit fees for organizations stuck at the 40 percent major-program coverage threshold typically run $8,000 to $20,000 higher per cycle than for comparable low-risk auditees.",scheduled
2026-04-29-post-02,2026-04-29,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-04-29/posts.md,Myth: interest earned on a federal advance drawdown counts as program income.,scheduled
2026-04-29-post-03,2026-04-29,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-04-29/posts.md,Steps 5 and 6 of the in-kind contribution valuation workflow are where most organizations create their next audit finding.,scheduled
2026-04-29-post-04,2026-04-29,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-04-29/posts.md,"Pass-through entity, defined at 2 CFR 200.1: a non-federal entity that receives a federal award and provides a sub-award to a subrecipient that carries out part of the federal program.",scheduled
2026-04-29-post-05,2026-04-29,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-04-29/posts.md,"Neon One is not a single product. It is a portfolio assembled through acquisition: Neon CRM at the center, Arts People for arts organizations, Rallybound for peer-to-peer, and a few others stacked around them.",scheduled
2026-04-29-post-06,2026-04-29,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-04-29/posts.md,"Church donor management runs on a weekly cadence — tithes, offerings, designated gifts — not the quarterly cycle most nonprofit CRMs assume.",scheduled
2026-04-29-post-07,2026-04-29,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-04-29/posts.md,A sub-award that is missing a required provision is a compliance finding even when the program runs perfectly.,scheduled
2026-04-29-post-08,2026-04-29,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-04-29/posts.md,"Little Green Light at $45 to $200 per month versus GrantPipe at $329 to $1,079. The right answer depends on one variable: do you actively manage federal or foundation grants, or just donors.",scheduled
2026-04-29-article,2026-04-29,16:25,article,,ARTICLE,linkedin-output/2026-04-29/article.md,"What 5,000+ Nonprofit CRM Reviews Actually Tell Buyers in 2026",pending
2026-04-29-post-09,2026-04-29,17:49,post,9,QUESTION_POST,linkedin-output/2026-04-29/posts.md,"A grant writer starts the year with 30 to 50 prospects on a spreadsheet. By Q2 the deadlines have shifted, two program officers have changed jobs, the organization has pivoted one program, and the spreadsheet has not kept up.",scheduled
2026-04-29-post-10,2026-04-29,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-04-29/posts.md,"The average mid-sized nonprofit uses three donor segments — everyone, major donors, and lapsed donors. Organizations with strong retention programs use fifteen or more.",scheduled
2026-04-30-post-01,2026-04-30,05:13,post,1,STAT_BOMB,linkedin-output/2026-04-30/posts.md,"The nonprofit CRM market reached $846 million in 2025, and 48% of nonprofits are actively considering switching platforms in the next 12 months — up from 10% the year before.",scheduled
2026-04-30-post-02,2026-04-30,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-04-30/posts.md,"Myth: software marketed as ""grant tracking"" handles post-award compliance.",scheduled
2026-04-30-post-03,2026-04-30,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-04-30/posts.md,Step 4 of responding to a Single Audit finding: draft the Corrective Action Plan with all five required elements under 2 CFR 200.511(c).,scheduled
2026-04-30-post-04,2026-04-30,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-04-30/posts.md,"The Unique Entity Identifier is a 12-character alphanumeric code assigned by SAM.gov. It replaced DUNS effective April 4, 2022.",scheduled
2026-04-30-post-05,2026-04-30,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-04-30/posts.md,"Bloomerang Standard runs $125 per month for up to 1,000 records and Pro runs $249 per month for up to 5,000. Capterra puts it at 4.66 out of 5 across more than 1,286 reviews — second highest in the nonprofit CRM category.",scheduled
