id,groupId,platform,integrationId,date,local_date,slot_label,content
"grantpipe-2026-252-2026-06-15-morning-linkedin","grantpipe-2026-252-2026-06-15-morning","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-15T13:45:00.000Z","2026-06-15","morning","restricted balance check.

Match donor limit to release note. Name the finance.

If it breaks, write the next step."
"grantpipe-2026-252-2026-06-15-midday-linkedin","grantpipe-2026-252-2026-06-15-midday","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-15T18:15:00.000Z","2026-06-15","midday","Keep SF-425 spend report plain.

Show GL total. Show source row.

Then name who owns the next step."
"grantpipe-2026-252-2026-06-15-late-linkedin","grantpipe-2026-252-2026-06-15-late","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-15T22:35:00.000Z","2026-06-15","late","End the day with audit binder.

Save award term near receipt.

A clean file helps the next reviewer."
"grantpipe-2026-252-2026-06-15-morning-x","grantpipe-2026-252-2026-06-15-morning","x","cmq5aut9y0087mv0yt9otastk","2026-06-15T13:45:00.000Z","2026-06-15","morning","restricted balance check: match donor limit to release note. Name the finance."
"grantpipe-2026-252-2026-06-15-midday-x","grantpipe-2026-252-2026-06-15-midday","x","cmq5aut9y0087mv0yt9otastk","2026-06-15T18:15:00.000Z","2026-06-15","midday","Keep SF-425 spend report simple. Show GL total. Show source row. Name the next owner."
"grantpipe-2026-252-2026-06-15-late-x","grantpipe-2026-252-2026-06-15-late","x","cmq5aut9y0087mv0yt9otastk","2026-06-15T22:35:00.000Z","2026-06-15","late","Close the loop on audit binder. Save award term near receipt."
"grantpipe-2026-252-2026-06-15-morning-threads","grantpipe-2026-252-2026-06-15-morning","threads","cmq5b15k300k4qp0yypplg57c","2026-06-15T13:45:00.000Z","2026-06-15","morning","Small grant check: restricted balance. Match donor limit to release note. Then name the finance."
"grantpipe-2026-252-2026-06-15-midday-threads","grantpipe-2026-252-2026-06-15-midday","threads","cmq5b15k300k4qp0yypplg57c","2026-06-15T18:15:00.000Z","2026-06-15","midday","For SF-425 spend report, keep the file plain. Show GL total. Show source row. Name the next step."
"grantpipe-2026-252-2026-06-15-late-threads","grantpipe-2026-252-2026-06-15-late","threads","cmq5b15k300k4qp0yypplg57c","2026-06-15T22:35:00.000Z","2026-06-15","late","Before the day ends, check audit binder. Put award term next to receipt."
"grantpipe-2026-252-2026-06-16-morning-linkedin","grantpipe-2026-252-2026-06-16-morning","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-16T13:45:00.000Z","2026-06-16","morning","match file check.

Match gift proof to grant goal. Name the program lead.

If it breaks, write the next step."
"grantpipe-2026-252-2026-06-16-midday-linkedin","grantpipe-2026-252-2026-06-16-midday","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-16T18:15:00.000Z","2026-06-16","midday","Keep grant closeout plain.

Show final invoice. Show final report.

Then name who owns the next step."
"grantpipe-2026-252-2026-06-16-late-linkedin","grantpipe-2026-252-2026-06-16-late","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-16T22:35:00.000Z","2026-06-16","late","End the day with board packet.

Save new award near next report.

A clean file helps the next reviewer."
"grantpipe-2026-252-2026-06-16-morning-x","grantpipe-2026-252-2026-06-16-morning","x","cmq5aut9y0087mv0yt9otastk","2026-06-16T13:45:00.000Z","2026-06-16","morning","match file check: match gift proof to grant goal. Name the program lead."
"grantpipe-2026-252-2026-06-16-midday-x","grantpipe-2026-252-2026-06-16-midday","x","cmq5aut9y0087mv0yt9otastk","2026-06-16T18:15:00.000Z","2026-06-16","midday","Keep grant closeout simple. Show final invoice. Show final report. Name the next owner."
"grantpipe-2026-252-2026-06-16-late-x","grantpipe-2026-252-2026-06-16-late","x","cmq5aut9y0087mv0yt9otastk","2026-06-16T22:35:00.000Z","2026-06-16","late","Close the loop on board packet. Save new award near next report."
"grantpipe-2026-252-2026-06-16-morning-threads","grantpipe-2026-252-2026-06-16-morning","threads","cmq5b15k300k4qp0yypplg57c","2026-06-16T13:45:00.000Z","2026-06-16","morning","Small grant check: match file. Match gift proof to grant goal. Then name the program lead."
"grantpipe-2026-252-2026-06-16-midday-threads","grantpipe-2026-252-2026-06-16-midday","threads","cmq5b15k300k4qp0yypplg57c","2026-06-16T18:15:00.000Z","2026-06-16","midday","For grant closeout, keep the file plain. Show final invoice. Show final report. Name the next step."
"grantpipe-2026-252-2026-06-16-late-threads","grantpipe-2026-252-2026-06-16-late","threads","cmq5b15k300k4qp0yypplg57c","2026-06-16T22:35:00.000Z","2026-06-16","late","Before the day ends, check board packet. Put new award next to next report."
"grantpipe-2026-252-2026-06-17-morning-linkedin","grantpipe-2026-252-2026-06-17-morning","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-17T13:45:00.000Z","2026-06-17","morning","cost note check.

Match invoice to allowed use. Name the reviewer.

If it breaks, write the next step."
"grantpipe-2026-252-2026-06-17-midday-linkedin","grantpipe-2026-252-2026-06-17-midday","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-17T18:15:00.000Z","2026-06-17","midday","Keep draw request plain.

Show real cost. Show cash need.

Then name who owns the next step."
"grantpipe-2026-252-2026-06-17-late-linkedin","grantpipe-2026-252-2026-06-17-late","linkedin","cmorp6oby03pgmq0ye7e3n7j0","2026-06-17T22:35:00.000Z","2026-06-17","late","End the day with award handoff.

Save budget near report date.

A clean file helps the next reviewer."
