post_id,scheduled_at_et,scheduled_at_utc,timezone,platform,account,type,integration_id,settings_json,pillar,hook_code,length_code,cta_type,cta_url,claim_sources,export_pattern,humanizer_status,review_status,source_file,post_body
2026-06-01_06-45_mon-01,2026-06-01 06:45,2026-06-01T10:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,Q,s,none,,grant documentation checklist; june strategy,audit binder checklist,passed,passed,content/social/linkedin/2026-W23/2026-06-01_06-45_mon-01.txt,"Quick check: if an auditor asked for one grant file today, could you produce the award, amendments, ledger, invoices, payroll support, and submitted reports without opening six tabs?

That is the real audit binder test.

The binder is not a folder.

It is a retrieval promise."
2026-06-01_07-30_mon-02,2026-06-01 07:30,2026-06-01T11:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P3,C,m,none,,donor-to-grant reconciliation template; product-context,donor CRM to GL reconciliation,passed,passed,content/social/linkedin/2026-W23/2026-06-01_07-30_mon-02.txt,"The donor CRM and the general ledger answer different questions.

The CRM says: who funded us, when did the relationship change, what did we promise?

The GL says: what cash arrived, where was it coded, what restriction class did Finance use?

The risk shows up when those answers drift.

A June 1 check worth doing:

Pick five active funders.

For each one, compare CRM amount, grant record amount, GL receipt, restriction code, and report deadline.

If the same funder has five different names, fix the naming before you build another report."
2026-06-01_08-15_mon-03,2026-06-01 08:15,2026-06-01T12:15:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P5,L,s,none,,june strategy; writer brief,month-start checks,passed,passed,content/social/linkedin/2026-W23/2026-06-01_08-15_mon-03.txt,"Month-start nonprofit ops check:

- Which reports are due in the next 30 days?
- Which board packet numbers still need Finance signoff?
- Which restricted balances changed last month?
- Which donor promises still need acknowledgment?
- Which grant folders have missing evidence?

June gets easier when this list exists before the inbox starts talking."
2026-06-01_09-00_mon-04,2026-06-01 09:00,2026-06-01T13:00:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P7,L,m,lead_magnet,https://grantpipe.com/free/2-cfr-200-audit-prep-checklist,uniform guidance guide; lead magnet: 2-cfr-200-audit-prep-checklist,lead-magnet teaser,passed,passed,content/social/linkedin/2026-W23/2026-06-01_09-00_mon-04.txt,"2 CFR 200 can feel abstract until audit week.

The useful version is a checklist:

- Is the cost allowable?
- Is it allocable to the award?
- Is the amount reasonable?
- Is the source document attached?
- Is the report deadline on the calendar?

We made a free 2 CFR 200 Audit Prep Checklist for that exact pass.

Free download, no email required: grantpipe.com/free/2-cfr-200-audit-prep-checklist."
2026-06-01_09-45_mon-05,2026-06-01 09:45,2026-06-01T13:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,L,l,none,,grant documentation checklist; 2 CFR 200.430,audit binder checklist,passed,passed,content/social/linkedin/2026-W23/2026-06-01_09-45_mon-05.txt,"Seven tabs I would want in a grant audit binder before a reviewer asks.

1. Award record

Notice of award, grant agreement, budget, amendments, no-cost extensions, and approval dates.

2. Financial trail

Ledger detail by grant, invoice or receipt, proof of payment, budget line, and coding.

3. Payroll support

Position description, payroll register, time and effort record, and effort certification for staff charged to the award.

4. Program evidence

Attendance records, participant eligibility files, output data, submitted performance reports, and source records behind totals.

5. Procurement file

Quotes, RFP, vendor selection notes, contract, conflict disclosure, and purchase approval.

6. Reporting history

SF-425 or funder financial reports, program reports, portal confirmations, and any explanation for revised numbers.

7. Correspondence

Program officer emails, approvals, amendment requests, and guidance that changed the work.

The goal is not a pretty binder. The goal is for a person who did not manage the grant to trace the story without asking five staff members to remember what happened."
2026-06-01_10-30_mon-06,2026-06-01 10:30,2026-06-01T14:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P4,D,m,none,,federal grant reporting requirements guide; product-context,federal program officer request list,passed,passed,content/social/linkedin/2026-W23/2026-06-01_10-30_mon-06.txt,"Grants.gov is for federal opportunity search and applications.

Post-award reporting lives elsewhere.

HHS may use PMS or GrantSolutions. HUD may use IDIS or DRGR. DOJ uses JustGrants.

That split matters because a grant calendar that only tracks application deadlines is half a calendar.

For active federal awards, track the reporting portal, login owner, report type, due date, and backup owner in the same record as the award."
2026-06-01_11-15_mon-07,2026-06-01 11:15,2026-06-01T15:15:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,D,s,none,,allowable costs federal grants guide; 2 CFR 200,source-heavy compliance,passed,passed,content/social/linkedin/2026-W23/2026-06-01_11-15_mon-07.txt,"Allowable, allocable, reasonable.

That is the federal grant cost test in plain English.

Allowable: the award and 2 CFR 200 permit it.

Allocable: the award actually benefited from it.

Reasonable: a prudent person would accept the amount under similar circumstances.

Documentation is not a fourth test.

It is how you prove the first three."
2026-06-01_12-00_mon-08,2026-06-01 12:00,2026-06-01T16:00:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P3,L,m,none,,product-marketing-context; donor-to-grant reconciliation template,Development to Finance handoff,passed,passed,content/social/linkedin/2026-W23/2026-06-01_12-00_mon-08.txt,"Development and Finance do not need the same screen.

They need the same facts.

For a restricted grant, those facts are:

- Funder name
- Award amount
- Restriction terms
- Cash received
- Expenses incurred
- Release from restriction
- Reports due
- Evidence attached

If Development owns the promise and Finance owns the ledger, the handoff should be a record, not a meeting that happens again every month."
2026-06-01_12-45_mon-09,2026-06-01 12:45,2026-06-01T16:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P2,D,s,none,,accounting for restricted funds guide; FASB ASC 958,restricted fund definition,passed,passed,content/social/linkedin/2026-W23/2026-06-01_12-45_mon-09.txt,"Release from restriction is not new revenue.

Under FASB ASC 958, it is a reclassification from net assets with donor restrictions to net assets without donor restrictions after the time or purpose restriction has been satisfied.

That distinction matters in board packets.

If the release is missing, the organization can look restricted on paper even when qualifying program expenses already happened."
2026-06-01_13-30_mon-10,2026-06-01 13:30,2026-06-01T17:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P5,Q,s,none,,june strategy; product-marketing context,Executive Director board prep,passed,passed,content/social/linkedin/2026-W23/2026-06-01_13-30_mon-10.txt,"Executive Directors do not need a 40-page finance packet for every board question.

They need a page that answers:

What is funded?

What is restricted?

What is due?

What is late?

What changed since the last meeting?

The board can ask better questions when the packet separates operating cash from restricted money and report deadlines from program plans."
