date,slot,type,post_text,hashtags,source_file,has_cta
2026-04-27,1,STAT_BOMB,"WIOA Title I served roughly 5 million participants in PY2022 across Adult, Dislocated Worker, and Youth programs. ↵  ↵ That volume runs on two reporting rails most operators treat as separate systems: the Participant Individual Record Layout that feeds the Section 116 performance measures, and the ETA-9130 financial report series that feeds federal cash management. ↵  ↵ The shops that avoid ETA findings keep the case file, the data entry, and the cost allocation aligned to the same participant record in real time. The shops with findings reconcile PIRL and 9130 once a quarter and discover gaps no one can explain six months later. ↵  ↵ If your case management tool and your accounting system disagree about who was served and how much was spent on them, that's the audit risk. ↵  ↵ GrantPipe ties expenditures to grants and participants in one record so the PIRL and 9130 stories tell the same number. ↵  ↵  ↵ ---",#wioa #grantcompliance #workforcedevelopment #nonprofitfinance,apps\site\src\content\guides\workforce-development-wioa-title-i-reporting-guide.md,yes
2026-04-27,2,MYTH_BUSTER,"Myth: grant reporting software writes your funder reports for you. ↵  ↵ Reality: most ""grant reporting"" tools only track deadlines. The actual report has two halves — a financial section (budget-vs-actual, expenditure documentation) and a narrative section (activities, outputs, outcomes). Reminders don't produce either one. ↵  ↵ Software can only generate the financial section if it tracks expenditures against approved budget categories during the grant period. Then the budget-vs-actual table populates from posted transactions linked to the grant. ↵  ↵ Tools without expenditure data give you a template. You still fill it in by hand from the GL, line by line, the night before submission. ↵  ↵ When evaluating a tool, ask one question: can it produce the budget-vs-actual table from real posted transactions, or is it just a calendar with a logo. ↵  ↵  ↵ ---",#grantreporting #nonprofitfinance #grantcompliance #funderreporting,apps\site\src\content\listicles\best-grant-reporting-software-for-nonprofits.md,no
2026-04-27,3,WORKFLOW_STEP,"Step 3 of a subaward budget modification: apply the 10% rule before you escalate. ↵  ↵ Under 2 CFR 200.308(e)(4), a non-federal entity may transfer funds among direct cost categories when the total of transfers does not exceed 10% of the total award budget and the change does not alter project scope. Inside that envelope, the pass-through can approve a subrecipient request without going up to the federal awarding agency. ↵  ↵ Step 4 is where most pass-throughs get the sequence wrong. If the modification crosses 10%, changes scope, adds equipment that wasn't budgeted, or touches a category the prime award restricted, federal prior approval is required before the pass-through can approve the subrecipient. ↵  ↵ Tell the subrecipient up front: federal prior approval typically runs four to twelve weeks depending on the agency. That sets the modification request deadline to roughly three months before the change needs to take effect. ↵  ↵ Document the 10% calculation in the file. Auditors look for the math, not just the email. ↵  ↵  ↵ ---",#subawardmanagement #uniformguidance #grantcompliance #2cfr200,apps\site\src\content\workflows\subaward-budget-modification.md,no
2026-04-27,4,TERM_EXPLAINED,"A donor-advised fund is not a donor. ↵  ↵ The DAF is an account at a sponsoring 501(c)(3) — Fidelity Charitable, Schwab Charitable, Vanguard Charitable, or a community foundation. The donor contributes assets, takes the deduction immediately, and then recommends grants from the account at any future time. Legal control sits with the sponsor; the donor holds advisory rights. ↵  ↵ Operationally this matters because the check arrives in the sponsor's name. Memo line might say ""donor advised grant"" with no individual attribution. If your CRM records that gift under ""Fidelity Charitable,"" you've just lost the relationship. ↵  ↵ The fix is a stewardship rule: any DAF distribution gets routed for investigation before it posts. The underlying donor is usually identifiable from the cover letter or the sponsor's portal. Code the gift to the human; tag the DAF as the vehicle. ↵  ↵ The acknowledgement letter goes to the donor, not the sponsor. The sponsor already has the deduction on file. ↵  ↵  ↵ ---",#donoradvisedfunds #fundraisingoperations #nonprofitcrm #majorgifts,apps\site\src\content\glossary\donor-advised-fund.md,no
2026-04-27,5,TOOL_TEARDOWN,"AmpliFund typically runs $15,000 to $50,000 per year, with multi-month implementations. ↵  ↵ That price tag exists because AmpliFund (now part of Bonterra) was built for government agencies and large nonprofits managing complex federal portfolios. Budget-versus-actual tied to grant line items, Uniform Guidance awareness, and SF-425-aware workflows are real strengths. Organizations running $10M+ in federal funds get genuine value from the depth. ↵  ↵ The mid-sized question is different. If your federal portfolio is two or three grants and your team is one finance person and one program lead, the implementation tax is the actual cost — not the license fee. You pay for capability you cannot operate. ↵  ↵ The honest evaluation: list the federal grants you actually manage, the staff hours you have for compliance work, and what your audit findings have looked like for the past three cycles. If the answer is ""two grants, one person, no findings,"" AmpliFund is probably oversized. ↵  ↵ If the answer is ""fifteen grants across four federal agencies and a single audit every year,"" it isn't. ↵  ↵  ↵ ---",#grantmanagementsoftware #federalgrants #nonprofitsoftware #amplifund,apps\site\src\content\alternatives\amplifund-alternative.md,no
2026-04-27,6,VERTICAL_HOOK,"HUD HOME rental housing compliance lasts 15 to 20 years after the project closes. ↵  ↵ Affordable housing nonprofits running HOME, CDBG, and ESG grants live with a compliance horizon that outlasts most staff tenures. Davis-Bacon wage documentation has to survive the construction phase. Matching fund records have to be reconstructable a decade later. Affordability period rent and income certifications run annually until the obligation expires. ↵  ↵ The standard nonprofit CRM does not handle this. Donor records weren't designed to track a tenant income recertification due in 2039. ↵  ↵ What works in practice: separate the development-phase restricted funds from the operations-phase restricted funds inside the accounting system, store the regulatory file (HUD agreement, Davis-Bacon payrolls, environmental review) against the project as a permanent attachment, and put the affordability period end date on a calendar with annual review triggers — not in someone's head. ↵  ↵ The institutional system has to outlive the people. That's the design constraint. ↵  ↵  ↵ ---",#affordablehousing #hudcompliance #homeinvestmentpartnerships #nonprofitcompliance,apps\site\src\content\vertical-pages\affordable-housing.md,no
2026-04-27,7,FREE_RESOURCE,"The single audit threshold moved to $1,000,000 in federal expenditures, effective for fiscal years ending September 30, 2025 or later. The old figure is out of date. ↵  ↵ Most organizations crossing the threshold for the first time discover their documentation isn't where the auditors expect it. The OMB Compliance Supplement defines what gets tested and which programs each requirement applies to. The work is mapping that test list to documentation you already have on hand — not assembling it during fieldwork. ↵  ↵ A practical prep approach: build a folder structure organized by compliance requirement (allowable costs, cash management, eligibility, equipment, matching, period of performance, procurement, program income, reporting, subrecipient monitoring, special tests). Keep a running index of where each piece lives. When the auditor asks for the procurement file, you don't go hunting. ↵  ↵ Free download — the 2 CFR 200 Audit Prep Checklist organizes the documentation auditors test, by compliance requirement: grantpipe.com/lead-magnets/2-cfr-200-audit-prep-checklist ↵  ↵  ↵ ---",#singleaudit #2cfr200 #nonprofitaudit #grantcompliance,apps\site\src\content\lead-magnets\2-cfr-200-audit-prep-checklist.md,no
2026-04-27,8,COMPARISON_INSIGHT,"Salesforce Nonprofit runs $60–$165 per user per month plus $30K–$100K in implementation. Blackbaud runs $5,000–$15,000+ per year with multi-year contracts and exit penalties. ↵  ↵ Both are designed for large nonprofits. Salesforce gives flexibility at high implementation cost — and you need an admin or managed services to keep it running. Blackbaud gives nonprofit specificity with a legacy interface and contract lock-in. ↵  ↵ The mid-sized question is rarely ""which one."" It's ""do we have the administrative capacity to operate either of these without burning a development hire on system maintenance."" Under $5M annual revenue, both are usually oversized. Over $20M with dedicated dev ops and IT, the comparison is worth running carefully. ↵  ↵ Between those two thresholds is the awkward middle where the platforms over-serve and the spreadsheets under-serve. That gap is where most $500K–$10M nonprofits actually live. ↵  ↵ What's your administrative capacity look like — are you sizing the tool to the work, or sizing the work to the tool you bought. ↵  ↵  ↵ ---",#nonprofittech #salesforce #blackbaud #nonprofitcrm,apps\site\src\content\comparisons\salesforce-vs-blackbaud-nonprofit-crm.md,no
2026-04-27,9,QUESTION_POST,"Finance and operations staff at mid-sized nonprofits usually wear three hats: finance, HR, and ops. No dedicated CFO. Often no dedicated controller. ↵  ↵ The daily list is QuickBooks reconciliation, grant drawdown processing, payroll allocation across restricted funds, audit prep, and vendor management. Sometimes board reporting. Often benefits administration. The tooling has to enforce documentation without the implementation tax of Sage Intacct or Blackbaud Financial Edge. ↵  ↵ Question for the finance/ops people in this network: what's the one task in your week that should be twenty minutes and somehow always becomes two hours. ↵  ↵ For me when I've watched this work, it's almost always payroll allocation across restricted funds — because the time-and-effort documentation lives in one system, the GL allocation lives in another, and reconciling them is manual. What's yours. ↵  ↵  ↵ ---",#nonprofitfinance #fundaccounting #restrictedfunds #nonprofitoperations,apps\site\src\content\personas\finance-operations-staff.md,no
2026-04-27,10,PRODUCT_INSIGHT,"Custom fields buried in a notes column aren't data. They're archaeology. ↵  ↵ Every nonprofit tracks something the standard donor schema doesn't capture — cultivation score, board relationship, interest area, legacy intent, ask amount, fiscal sponsor, project code. When that lives in a free-text ""notes"" field, it can't be filtered, exported, reported on, or used to segment a campaign. It exists, but only for the person who wrote it down. ↵  ↵ The fix is typed custom fields: text, number, date, select, or boolean, defined per entity (donor, grant, gift). Once the field has a type, it shows up in filters and reports the same way the standard fields do. The data stays structured from the moment it's entered. ↵  ↵ The discipline is naming and pruning. Every custom field added is a column someone has to maintain. Review the list once a year and delete what no one fills in. ↵  ↵ GrantPipe lets you define custom fields on donors, grants, and gifts that flow into filters, exports, and reports alongside the built-in fields — no notes-column workarounds.",#nonprofitcrm #fundraisingoperations #datahygiene #grantpipe,apps\site\src\content\features\custom-fields.md,yes
